gid;cdate;mdate;perimeter_id;datedebut;datefin;valuecentrale;valuebatpublic;valueborneve;valuepv;valueep
4465;2022-08-15T09:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-15T09:30:00+02:00;2022-08-15T10:00:00+02:00;1828978;39333;2181;5789;0
4468;2022-08-15T11:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-15T11:30:00+02:00;2022-08-15T12:00:00+02:00;2002836;37000;528;11545;0
4470;2022-08-15T13:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-15T13:30:00+02:00;2022-08-15T14:00:00+02:00;2224796;40667;530;12969;0
4473;2022-08-15T16:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-15T16:00:00+02:00;2022-08-15T16:30:00+02:00;1902011;38333;534;32155;0
4475;2022-08-15T18:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-15T18:30:00+02:00;2022-08-15T19:00:00+02:00;2051961;30333;15640;17836;0
4481;2022-08-16T01:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-16T01:30:00+02:00;2022-08-16T02:00:00+02:00;0;28667;528;0;91766
4482;2022-08-16T03:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-16T03:30:00+02:00;2022-08-16T04:00:00+02:00;0;29333;588;0;91359
4484;2022-08-16T06:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-16T06:00:00+02:00;2022-08-16T06:30:00+02:00;1666637;32667;533;0;90455
4486;2022-08-16T07:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-16T07:00:00+02:00;2022-08-16T07:30:00+02:00;1683089;44667;531;0;11284
4489;2022-08-16T09:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-16T09:00:00+02:00;2022-08-16T09:30:00+02:00;2068862;46000;9115;3032;0
4490;2022-08-16T10:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-16T10:00:00+02:00;2022-08-16T10:30:00+02:00;2212730;45667;10305;4721;0
4492;2022-08-16T11:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-16T11:30:00+02:00;2022-08-16T12:00:00+02:00;2258529;51667;28691;6561;0
4494;2022-08-16T15:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-16T15:00:00+02:00;2022-08-16T15:30:00+02:00;2227853;49333;29517;28725;0
4497;2022-08-16T18:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-16T18:00:00+02:00;2022-08-16T18:30:00+02:00;2149002;33000;6660;21596;0
4498;2022-08-16T22:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-16T22:00:00+02:00;2022-08-16T22:30:00+02:00;2316514;31667;15771;0;109905
4500;2022-08-16T23:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-16T23:00:00+02:00;2022-08-16T23:30:00+02:00;0;31000;542;0;105697
4502;2022-08-17T01:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-17T01:30:00+02:00;2022-08-17T02:00:00+02:00;0;28000;531;0;91741
4504;2022-08-17T05:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-17T05:00:00+02:00;2022-08-17T05:30:00+02:00;1574922;33000;531;0;91031
4508;2022-08-17T09:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-17T09:00:00+02:00;2022-08-17T09:30:00+02:00;1920486;40667;5820;3413;0
4509;2022-08-17T09:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-17T09:30:00+02:00;2022-08-17T10:00:00+02:00;1987424;45000;5838;4413;0
4511;2022-08-17T12:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-17T12:30:00+02:00;2022-08-17T13:00:00+02:00;2396079;47667;37847;15720;0
4513;2022-08-17T13:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-17T13:30:00+02:00;2022-08-17T14:00:00+02:00;2323845;43333;10436;13661;0
4514;2022-08-17T14:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-17T14:30:00+02:00;2022-08-17T15:00:00+02:00;2247306;44000;10471;5485;0
4523;2022-08-18T02:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-18T02:30:00+02:00;2022-08-18T03:00:00+02:00;0;32333;526;0;91826
4525;2022-08-18T05:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-18T05:00:00+02:00;2022-08-18T05:30:00+02:00;1512950;33667;532;0;91724
4527;2022-08-18T08:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-18T08:00:00+02:00;2022-08-18T08:30:00+02:00;1741371;44667;15462;1333;0
4528;2022-08-18T08:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-18T08:30:00+02:00;2022-08-18T09:00:00+02:00;1859813;38667;7731;2667;0
4534;2022-08-18T13:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-18T13:30:00+02:00;2022-08-18T14:00:00+02:00;2402668;44667;4045;19217;0
4535;2022-08-18T14:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-18T14:00:00+02:00;2022-08-18T14:30:00+02:00;2261221;43000;18300;24053;0
4542;2022-08-18T20:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-18T20:00:00+02:00;2022-08-18T20:30:00+02:00;2157274;31667;26312;1667;0
4543;2022-08-18T21:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-18T21:00:00+02:00;2022-08-18T21:30:00+02:00;2151958;34000;11535;0;39307
4545;2022-08-18T23:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-18T23:00:00+02:00;2022-08-18T23:30:00+02:00;0;34000;532;0;90937
4547;2022-08-19T02:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-19T02:00:00+02:00;2022-08-19T02:30:00+02:00;0;29667;529;0;79271
4548;2022-08-19T03:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-19T03:00:00+02:00;2022-08-19T03:30:00+02:00;0;32000;533;0;79343
4550;2022-08-19T04:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-19T04:30:00+02:00;2022-08-19T05:00:00+02:00;0;36667;530;0;79496
4551;2022-08-19T05:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-19T05:00:00+02:00;2022-08-19T05:30:00+02:00;1505940;33667;531;0;79477
4555;2022-08-19T09:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-19T09:30:00+02:00;2022-08-19T10:00:00+02:00;1924001;46000;1317;6188;0
4560;2022-08-19T14:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-19T14:00:00+02:00;2022-08-19T14:30:00+02:00;2213869;48667;25282;16611;0
4561;2022-08-19T17:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-19T17:00:00+02:00;2022-08-19T17:30:00+02:00;2028481;38000;24729;7265;0
4562;2022-08-19T17:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-19T17:30:00+02:00;2022-08-19T18:00:00+02:00;1982467;39000;7397;8827;0
4563;2022-08-19T18:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-19T18:30:00+02:00;2022-08-19T19:00:00+02:00;2111484;37667;25141;16192;0
4567;2022-08-19T20:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-19T20:30:00+02:00;2022-08-19T21:00:00+02:00;2076254;30667;2718;667;0
4568;2022-08-19T21:30:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-19T21:30:00+02:00;2022-08-19T22:00:00+02:00;2206283;33333;4452;0;82775
4571;2022-08-20T00:00:00+02:00;2023-07-09T08:00:05+02:00;Bordeaux_Bastide;2022-08-20T00:00:00+02:00;2022-08-20T00:30:00+02:00;0;33333;1513;0;85461
